subj,subj_type,subj_span,obj,obj_type,obj_span,relation
He said that he didn't even demonstrate -- he told the people in Arkansas in 1978,Premise,"((79429, 79510),)",Then we find out he organized demonstrations,Premise,"((79512, 79556),)",Support
he will make government bigger,Premise,"((3889, 3919),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
I made the recommendation to the president,Premise,"((8305, 8347),)",The president made the decision,Premise,"((8349, 8380),)",Support
You voted for it,Claim,"((20141, 20157),)","You know full well the Caribbean Basin Initiative, you've supported that",Claim,"((19983, 20055),)",Support
"I'm taught in my religious tradition that we are given dominion over the Earth, but we're required to be good stewards of the Earth",Premise,"((39836, 39967),)",This is a value an issue that touches my basic values,Claim,"((39781, 39834),)",Support
I think it's a privacy issue,Claim,"((58915, 58943),)","I believe that a woman owns her body and what she does with it is her own business, period",Claim,"((58617, 58707),)",Support
"We had our own, practically our own constitution",Premise,"((67449, 67497),)",I put up -- I was the -- I was the sovereign for a good bit of that,Premise,"((67503, 67570),)",Support
Then we find out he organized demonstrations,Premise,"((79512, 79556),)",I don't care whether he demonstrated or didn't demonstrate,Premise,"((79568, 79626),)",Support
jobs will be lost,Premise,"((3921, 3938),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
The president made the decision,Premise,"((8349, 8380),)",the coup was suppressed,Premise,"((8382, 8405),)",Support
No,Claim,"((915, 917),)",You voted for it,Claim,"((20141, 20157),)",Attack
the future will call for greater efficiency and greater environmental efficiency,Claim,"((39698, 39778),)",This is a value an issue that touches my basic values,Claim,"((39781, 39834),)",Support
I don't think they should be made illegal,Claim,"((58815, 58856),)","I, too, abhor abortions",Premise,"((58786, 58809),)",Attack
I put up -- I was the -- I was the sovereign for a good bit of that,Premise,"((67503, 67570),)",I tried to analyze human predicaments in that microcosm of life in the -- in the world,Premise,"((67576, 67662),)",Support
tell the truth,Claim,"((33719, 33733),)",I don't care whether he demonstrated or didn't demonstrate,Premise,"((79568, 79626),)",Attack
Bill Clinton wants to raise taxes,Premise,"((4121, 4154),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
the coup was suppressed,Premise,"((8382, 8405),)",democracy continued in the Philippines,Premise,"((8407, 8445),)",Support
"I'm taught in my religious tradition that we are given dominion over the Earth, but we're required to be good stewards of the Earth",Premise,"((39836, 39967),)",We're not doing that now under the Bush-Quayle policies,Claim,"((40004, 40059),)",Attack
I don't think they should be made illegal,Claim,"((58815, 58856),)","I believe that a woman owns her body and what she does with it is her own business, period",Claim,"((58617, 58707),)",Support
I tried to analyze human predicaments in that microcosm of life in the -- in the world,Premise,"((67576, 67662),)","I found out that when I really got down to putting out do's and don'ts, and lots of these included take torture for this and that, and this and that, and never take any amnesty, for reasons they all understood and went along with",Premise,"((67668, 67897),)",Support
Just tell us the truth,Claim,"((79673, 79695),)",tell the truth,Claim,"((33719, 33733),)",Support
President Bush wants to hold the line on taxes,Premise,"((4073, 4119),)",Bill Clinton wants to raise taxes,Premise,"((4121, 4154),)",Attack
democracy continued in the Philippines,Premise,"((8407, 8445),)",the situation was ended,Premise,"((8447, 8470),)",Support
No,Claim,"((915, 917),)",No,Claim,"((915, 917),)",Equivalent
They have gutted the Clean Air Act,Premise,"((40061, 40095),)",We're not doing that now under the Bush-Quayle policies,Claim,"((40004, 40059),)",Support
"Even in cases of rape and incest, their platform requires that a woman be penalized, that she not be allowed to make a choice, if she believes, in consultation with her family, her doctor, and others, whoever she chooses, that she wants to have an abortion after rape, or incest",Claim,"((59422, 59700),)","he and George Bush have turned over their party to Pat Buchanan and Phyllis Schlafly, who have ordered them to endorse a platform which makes all abortions illegal under any circumstances, regardless of what has led to that decision by a woman",Claim,"((59177, 59420),)",Support
"I found out that when I really got down to putting out do's and don'ts, and lots of these included take torture for this and that, and this and that, and never take any amnesty, for reasons they all understood and went along with",Premise,"((67668, 67897),)","one of the -- we had an acronym, BACKUS, and each one of those B-a-c-k was something for which you -- you had to make them hurt you before you did it",Premise,"((67903, 68052),)",Support
Just tell us the truth,Claim,"((79673, 79695),)",I don't care whether he demonstrated or didn't demonstrate,Premise,"((79568, 79626),)",Attack
President Bush is for a balanced budget amendment,Premise,"((4156, 4205),)",Bill Clinton is opposed to it,Premise,"((4207, 4236),)",Attack
the situation was ended,Premise,"((8447, 8470),)",I've been there,Claim,"((7554, 7569),)",Support
America had the political will and made the right decisions,Premise,"((28577, 28636),)",We won the Cold War,Claim,"((28342, 28361),)",Support
They have broken his pledge to be the environmental president,Premise,"((40097, 40158),)",We're not doing that now under the Bush-Quayle policies,Claim,"((40004, 40059),)",Support
Dan did not say I support the right of a woman to choose,Premise,"((59103, 59159),)","he and George Bush have turned over their party to Pat Buchanan and Phyllis Schlafly, who have ordered them to endorse a platform which makes all abortions illegal under any circumstances, regardless of what has led to that decision by a woman",Claim,"((59177, 59420),)",Support
"one of the -- we had an acronym, BACKUS, and each one of those B-a-c-k was something for which you -- you had to make them hurt you before you did it",Premise,"((67903, 68052),)","Bowing in public, making, making -- getting on the radio and so forth",Premise,"((68054, 68123),)",Support
"Today, Bill Clinton -- excuse me -- yesterday in Philadelphia on a radio show, just yesterday on a radio show, he attacked -- Admiral, he attacks Ross Perot saying the media is giving Ross Perot a free ride",Premise,"((79697, 79903),)","The press asked him when the klieg lights are on, said what do you mean by Ross Perot getting a free ride? He says I didn't say that at all.",Premise,"((79905, 80045),)",Support
Let us look at the agendas,Premise,"((4045, 4071),)","Bill Clinton's economic plan and his agenda will make matters much, much worse",Claim,"((3754, 3832),)",Support
nobody has ever criticized me for not having strong beliefs,Premise,"((8640, 8699),)","one other thing that qualifies you for being president -- and it's this, Hal -- you've got to stand up for what you believe in",Claim,"((8508, 8634),)",Support
America had the political will and made the right decisions,Premise,"((28577, 28636),)",we won the Cold War,Claim,"((28487, 28506),)",Support
Bill Clinton and I will change that,Claim,"((40160, 40195),)",They have broken his pledge to be the environmental president,Premise,"((40097, 40158),)",Attack
They make it completely illegal under any of those circumstances,Claim,"((59702, 59726), (59799, 59839))","Even in cases of rape and incest, their platform requires that a woman be penalized, that she not be allowed to make a choice, if she believes, in consultation with her family, her doctor, and others, whoever she chooses, that she wants to have an abortion after rape, or incest",Claim,"((59422, 59700),)",Support
